RsrcName	Bitmap
boot_0	992,736,992,31775,30735,24579,28999,16385,28679,24579,31775,31279,28999,27803,25123,32223
boot_1	992,736,992,31775,63503,24579,12615,36865,51207,34819,17439,25135,28999,28827,30755,32735
boot_2	992,736,2016,31263,29199,25603,18759,18433,38919,34819,17439,25135,28999,28827,30755,32735
boot_3	0,65535,57375,44885,61215,61269,61215,44885,57375,65535,0,56747,4264,56507,1160,56459
f_blank	0,4224,6336,7920,7392,4224,4224,4224,4224,4224,4224,29568,46464,63360,63360,25344
f_pause	0,4224,6336,7920,7392,4224,4275,4275,4275,4275,4275,29619,46515,63411,63411,25395
f_play	0,4224,6336,7920,7392,4224,4272,4272,4284,4284,4287,29631,46524,63420,63408,25392
f_stop	0,4224,6336,7920,7392,4224,4224,4254,4254,4254,4254,29598,46494,63390,63390,25344
no_abm	0,4224,6336,7920,7392,4224,4254,4287,4257,4227,4230,29580,46476,63360,63372,25356
no_vox	0,4224,6336,7920,7392,4224,4241,4241,4234,4234,4228,29572,46474,63370,63377,25361
perf_0	61448,4492,13254,25539,25955,59363,59367,58318,61854,62044,32380,32380,16376,8184,4080,4080
perf_1	0,61832,5070,13255,26275,26595,59367,58318,61854,62044,32380,32380,16376,8184,4080,4080
st_gm1	21844,21844,0,0,31090,21770,21834,21834,21834,21834,21834,21882,0,0,32766,32766
st_gm2	21844,21844,0,0,31102,21796,21796,21796,21796,21796,21796,21886,0,0,32766,32766
st_gs	8071,8078,12316,12344,24624,24632,50140,50126,24775,24775,12686,12700,7992,8048,224,448
st_mt32	50047,59263,48392,39176,33032,33032,33032,0,15420,32382,17990,7180,7192,17968,32382,15486
st_xg	255,24831,24831,12673,12673,6975,6975,3697,3697,6973,6973,12673,12673,24831,24831,255
sysex	0,0,0,0,0,0,0,0,0,127,79,95,74,93,74,127
sysex_m	0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255
toolbox	0,448,992,544,16376,16932,26482,20481,28671,30717,30493,30493,14333,8189,4094,0