ID	Name
DblConGr	Double Concert Grand
MellowEP	Mellow Electric Piano
SupClavi	Super Clavichord
DetDrwOr	Detuned Drawbar Organ
ClkGspOr	Click Gospel Organ
FstRotar	Fast Rotary Organ
NekRough	Roughcaster Neck
FunkGtr2	Funk Guitar 2
OvdrGtDt	Detuned Overdrive Guitar
RezChase	Resonant Chase
PickBas2	Picked Bass 2
HardPick	Hard Picked Bass
Pwr.Fret	Powered Fretless Bass
SmthSynB	Smooth Synth Bass
ViolinSc	Violin Section
SlVlnSec	Slow Violin Section
ViolaSec	Viola Section
SlVlaSec	Slow Viola Section
CellSect	Cello Section
SlCelloS	Slow Cello Section
ContrSec	Contrabass Section
SlContrS	Slow Contrabass Section
SwellStr	Swell Strings
StSlwStr	Stereo Slow Strings
BriteTrp	Bright Trumpet
SweetTrp	Sweet Trumpet
NormlTrp	Normal Trumpet
Bril Trp	Brilliant Trumpet
BrtTromb	Bright Trombone
MelloTrb	Mellow Trombone
BrilTrmb	Brilliant Trombone
BrtBsTrb	Bright Bass Trombone
FrHrSolo	French Horn Solo
FrHorn 2	French Horn 2
BrtFrHrn	Bright French Horn
StBrsSec	Stereo Brass Section
Tenor&Tp	Tenor Sax & Trumpet
SymphBrs	Symphonic Brass
LgtAltSx	Legato Alto Saxophone
HyprAlto	Hyper Alto Sax
FakeAlto	Fake Alto Sax
TenrSax2	Tenor Saxophone 2
SuperTnr	Super Tenor Saxophone
BasClari	Bass Clarinet
NeatBrth	Neat Breathy Flute
HollowSq	Hollow Square
CutNoise	Cutting Noise
CutNoiz2	Cutting Noise 2
DstCutNz	Distorted Cutting Noise
Fl.KClik	Flute Key Click
CarTyreS	Car Tyre Squeal
TechnoHi	Techno Kit High
TechnoLo	Techno Kit Low
S. Latin	Small Latin Kit
AfroCuba	Live! Afro-Cuban Kit
AfrCuba2	Live! Afro-Cuban Kit 2
BrazilKt	Live! Brazillian Kit
PopLatin	Pop Laton Kit
DarkRoom	Dark Room Kit
NtrlFunk	Natural Funk Kit
Lv StdKt	Live! Standard Kit
LvFunkKt	Live! Funk Kit
Lv Brush	Live! Brush Kit
Std&Perc	Live! Standard+Perc Kit
FunkPerc	Live! Funk + Perc Kit
Brush&P.	Live! Brush + Perc Kit
F-Coquet	Female Coquette
GrndPnoK	Grand Piano KSP
MelloGrP	Mellow Grand Piano
PianoStr	Piano + Strings
GrandP #	Grand Piano #
BritPnoK	Bright Piano KSP
BriteP #	Bright Piano #
EGndPnoK	Electric Grand Piano KSP
HnkyTnkK	Honky Tonk KSP
EPiano1K	Electric Piano 1 KSP
HardEPno	Hard Electric Piano
VX E.Pno	VX Electric Piano
60sElPno	60's Electric Piano
EPiano1#	Electric Piano 1 #
EPiano2K	Electric Piano 2 KSP
VX EPno2	VX Electric Piano 2
EPiano2#	Electric Piano 2 #
HpschrdK	Harpsichord KSP
Hpschrd2	Harpsichord 2
Hpschrd3	Harpsichord 3
ClvchrdK	Clavichord KSP
ClaviWah	Wah Clavichord
PulseClv	Pulse Clavichord
Perc Clv	Pierce Clavichord
VibrafnK	Vibraphone KSP
HardVibr	Hard Vibraphone